case;singular;plural
n;eelmine;eelmised
g;eelmise;eelmiste
p;eelmist;eelmisi, eelmiseid
ill;eelmisesse;eelmisisse, eelmistesse, eelmiseisse
in;eelmises;eelmisis, eelmistes, eelmiseis
el;eelmisest;eelmisist, eelmistest, eelmiseist
all;eelmisele;eelmisile, eelmistele, eelmiseile
ad;eelmisel;eelmisil, eelmistel, eelmiseil
abl;eelmiselt;eelmisilt, eelmistelt, eelmiseilt
tr;eelmiseks;eelmisiks, eelmisteks, eelmiseiks
ter;eelmiseni;eelmisteni
es;eelmisena;eelmistena
ab;eelmiseta;eelmisteta
kom;eelmisega;eelmistega
n;eikeegi;
g;eikellegi;
p;eikedagi;
ill;eikellessegi;
in;eikelleski;
el;eikellestki;
all;eikellelegi;
ad;eikellelgi;
abl;eikelleltki;
tr;eikellekski;
ter;eikellenigi;
es;eikellenagi;
ab;eikelletagi;
kom;eikellegagi;
n;eimiski, eimiski;eimiskid
g;eimillegi, eimiski;eimiskite
p;eimidagi, eimiskit;eimiskeid
ill;eimillessegi, eimiskisse;eimiskeisse, eimiskitesse
in;eimilleski, eimiskis;eimiskeis, eimiskites
el;eimillestki, eimiskist;eimiskeist, eimiskitest
all;eimillelegi, eimiskile;eimiskeile, eimiskitele
ad;eimillelgi, eimiskil;eimiskeil, eimiskitel
abl;eimilleltki, eimiskilt;eimiskeilt, eimiskitelt
tr;eimillekski, eimiskiks;eimiskeiks, eimiskiteks
ter;eimillenigi, eimiskini;eimiskeini, eimiskiteni
es;eimillenagi, eimiskina;eimiskeina, eimiskitena
ab;eimilletagi, eimiskita;eimiskiteta
kom;eimillegagi, eimiskiga;eimiskitega
n;emb-kumb;
g;emma-kumma;
p;emba-kumba;
ill;emmasse-kummasse;
in;emmas-kummas;
el;emmast-kummast;
all;emmale-kummale;
ad;emmal-kummal;
abl;emmalt-kummalt;
tr;emmaks-kummaks;
ter;emma-kummani;
es;emma-kummana;
ab;emma-kummata;
kom;emma-kummaga;
n;enam, enam;enamad
g;enama;enamate
p;enamat;enamaid
ill;enamasse;enamaisse, enamatesse
in;enamas;enamais, enamates
el;enamast;enamaist, enamatest
all;enamale;enamaile, enamatele
ad;enamal;enamail, enamatel
abl;enamalt;enamailt, enamatelt
tr;enamaks;enamaiks, enamateks
ter;enamani;enamaini, enamateni
es;enamana;enamaina, enamatena
ab;enamata;enamateta
kom;enamaga;enamatega
n;enim;enimad
g;enima;enimate
p;enimat;enimaid
ill;enimasse;enimaisse, enimatesse
in;enimas;enimais, enimates
el;enimast;enimaist, enimatest
all;enimale;enimaile, enimatele
ad;enimal;enimail, enimatel
abl;enimalt;enimailt, enimatelt
tr;enimaks;enimaiks, enimateks
ter;enimani;enimaini, enimateni
es;enimana;enimaina, enimatena
ab;enimata;enimateta
kom;enimaga;enimatega
n;iga, iga;ead
g;ea, iga;igade
p;iga, iga, igat;igasid
ill;easse, igasse;igadesse
in;eas, igas;igades
el;east, igast;igadest
all;eale, igale;igadele
ad;eal, igal;igadel
abl;ealt, igalt;igadelt
tr;eaks, igaks;igadeks
ter;eani, igani;igadeni
es;eana, igana;igadena
ab;eata, igata;igadeta
kom;eaga, igaga;igadega
n;igasugune;igasugused
g;igasuguse;igasuguste
p;igasugust;igasuguseid
ill;igasugusesse;igasugustesse, igasuguseisse
in;igasuguses;igasugustes, igasuguseis
el;igasugusest;igasugustest, igasuguseist
all;igasugusele;igasugustele, igasuguseile
ad;igasugusel;igasugustel, igasuguseil
abl;igasuguselt;igasugustelt, igasuguseilt
tr;igasuguseks;igasugusteks, igasuguseiks
ter;igasuguseni;igasugusteni, igasuguseini
es;igasugusena;igasugustena, igasuguseina
ab;igasuguseta;igasugusteta
kom;igasugusega;igasugustega
n;igaüks;
g;igaühe;
p;igaüht, igaühte;
ill;igaühesse;
in;igaühes;
el;igaühest;
all;igaühele;
ad;igaühel;
abl;igaühelt;
tr;igaüheks;
ter;igaüheni;
es;igaühena;
ab;igaüheta;
kom;igaühega;
n;ise, ise, ise;ise
g;enda, enese;endi, eneste
p;end, ennast;endid
ill;endasse, enesesse;endisse, enestesse
in;endas, eneses;endis, enestes
el;endast, enesest;endist, enestest
all;endale, enesele;endile, enestele
ad;endal, enesel;endil, enestel
abl;endalt, eneselt;endilt, enestelt
tr;endaks, eneseks;endiks, enesteks
ter;endani, eneseni;endini, enesteni
es;endana, enesena;endina, enestena
ab;endata, eneseta;endita, enesteta
kom;endaga, enesega;endiga, enestega
n;isesugune;isesugused
g;isesuguse;isesuguste
p;isesugust;isesuguseid
ill;isesugusesse;isesugustesse, isesuguseisse
